               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0295,            0.020279,            0.024352,              0.4988,                0.69,             0.61006,             0.43009,            0.029472,            0.018675,            0.033821,           0.0098916,           0.0098916,           0.0098916
                  37,            0.027556,            0.019318,            0.023251,             0.48562,             0.70168,             0.60766,             0.44446,            0.028715,            0.018671,             0.03188,           0.0098854,           0.0098854,           0.0098854
                  38,            0.029178,            0.020396,            0.021501,             0.48454,             0.74964,             0.62696,             0.43854,            0.030658,            0.018779,            0.031459,           0.0098789,           0.0098789,           0.0098789
                  39,            0.028357,            0.021195,            0.020134,             0.51946,             0.66528,             0.63146,             0.45062,            0.029156,            0.017939,            0.030838,           0.0098723,           0.0098723,           0.0098723
                  40,            0.027321,            0.020742,            0.021458,             0.63179,             0.61791,              0.6618,             0.46247,            0.030225,            0.018205,            0.030397,           0.0098656,           0.0098656,           0.0098656
                  41,            0.027823,             0.02098,            0.020034,             0.53928,             0.73797,             0.65317,             0.46806,            0.029715,            0.018819,            0.026768,           0.0098586,           0.0098586,           0.0098586
                  42,            0.029362,              0.0204,            0.019999,             0.53503,              0.7302,             0.66801,             0.45837,            0.030304,             0.01815,            0.026939,           0.0098515,           0.0098515,           0.0098515
                  43,            0.027224,            0.019319,            0.017452,             0.53893,             0.70475,             0.65894,             0.46854,            0.029824,            0.018851,            0.026109,           0.0098442,           0.0098442,           0.0098442
                  44,            0.027365,            0.020571,            0.017349,              0.5262,             0.74936,             0.67918,             0.48747,            0.028559,            0.018039,            0.027956,           0.0098368,           0.0098368,           0.0098368
                  45,            0.028133,             0.02077,            0.016481,              0.5441,             0.76542,             0.66868,             0.44972,            0.031638,            0.019216,            0.025513,           0.0098291,           0.0098291,           0.0098291
                  46,            0.029107,            0.021811,            0.016684,             0.66705,             0.62751,             0.69515,              0.4928,            0.029459,            0.018629,            0.027177,           0.0098213,           0.0098213,           0.0098213
                  47,            0.027338,            0.019733,             0.01565,             0.63262,             0.68693,             0.70091,             0.50374,            0.029063,            0.018928,             0.02669,           0.0098133,           0.0098133,           0.0098133
                  48,            0.028167,            0.022478,            0.014817,             0.57969,             0.71763,             0.66254,             0.47404,            0.029665,            0.019353,            0.025887,           0.0098052,           0.0098052,           0.0098052
