               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027587,            0.019739,           0.0079767,             0.80476,             0.72161,             0.80352,             0.58715,            0.028591,            0.017197,            0.017019,           0.0098916,           0.0098916,           0.0098916
                  37,            0.026645,            0.017872,           0.0075019,             0.73376,             0.70079,             0.73648,             0.53985,            0.030855,            0.021396,            0.018852,           0.0098854,           0.0098854,           0.0098854
                  38,            0.027038,            0.020385,           0.0087423,             0.76776,             0.72566,             0.79141,             0.57476,            0.028003,            0.018466,            0.020066,           0.0098789,           0.0098789,           0.0098789
                  39,            0.026024,            0.019502,           0.0089087,             0.80382,             0.74492,             0.80606,             0.58984,            0.027303,            0.018702,            0.017161,           0.0098723,           0.0098723,           0.0098723
                  40,            0.026384,            0.018354,           0.0079293,             0.80562,             0.70763,             0.80166,             0.54842,            0.031459,            0.018397,            0.018051,           0.0098656,           0.0098656,           0.0098656
                  41,            0.027355,            0.020226,           0.0083725,              0.7938,             0.77508,             0.82617,             0.58683,            0.027773,            0.017213,            0.016843,           0.0098586,           0.0098586,           0.0098586
                  42,            0.027821,            0.018545,            0.008019,             0.81494,             0.77923,             0.82655,             0.57792,            0.029467,            0.017173,            0.016033,           0.0098515,           0.0098515,           0.0098515
                  43,            0.024976,            0.021119,           0.0081653,             0.75545,             0.73522,             0.77007,             0.56302,            0.028281,            0.020659,            0.021902,           0.0098442,           0.0098442,           0.0098442
                  44,            0.024873,            0.020094,           0.0092115,             0.77568,             0.72297,             0.77898,             0.57196,            0.028357,            0.018749,            0.020187,           0.0098368,           0.0098368,           0.0098368
                  45,            0.026233,            0.019419,           0.0079689,             0.72432,             0.68278,              0.7188,             0.52385,            0.027984,            0.018856,            0.029159,           0.0098291,           0.0098291,           0.0098291
                  46,            0.026308,            0.019816,           0.0083373,             0.78707,             0.72609,              0.7654,             0.55424,            0.028719,            0.019542,             0.01949,           0.0098213,           0.0098213,           0.0098213
                  47,            0.025981,             0.01858,           0.0073541,             0.77858,              0.7373,             0.76696,             0.56567,            0.027607,            0.018601,            0.021015,           0.0098133,           0.0098133,           0.0098133
                  48,            0.026028,            0.018462,           0.0077368,             0.78315,             0.78061,             0.83225,             0.59661,            0.029869,            0.017928,            0.017231,           0.0098052,           0.0098052,           0.0098052
                  49,             0.02581,            0.018726,           0.0067513,             0.81802,             0.71313,             0.80546,             0.57405,            0.029977,            0.017894,            0.019861,           0.0097969,           0.0097969,           0.0097969
                  50,            0.025191,            0.018072,           0.0068343,             0.81457,             0.75394,             0.82479,             0.60138,            0.027259,            0.017943,            0.015279,           0.0097884,           0.0097884,           0.0097884
                  51,             0.02362,            0.017678,           0.0055134,             0.77674,             0.76886,             0.82026,             0.61084,              0.0261,            0.016839,            0.016537,           0.0097798,           0.0097798,           0.0097798
                  52,            0.024425,            0.017673,           0.0065738,             0.79529,             0.77986,             0.83278,             0.61419,            0.027308,            0.016866,             0.01392,           0.0097709,           0.0097709,           0.0097709
                  53,            0.025896,            0.017829,           0.0056575,             0.81365,             0.75159,             0.81147,             0.60087,            0.026177,            0.017103,            0.016724,           0.0097619,           0.0097619,           0.0097619
                  54,            0.022203,            0.016502,           0.0054195,              0.8204,             0.77283,             0.81463,             0.60062,            0.025905,            0.017357,            0.016086,           0.0097528,           0.0097528,           0.0097528
                  55,             0.02548,            0.017775,           0.0064205,              0.8276,             0.73798,             0.80721,             0.60416,            0.025996,            0.017174,            0.018143,           0.0097435,           0.0097435,           0.0097435
                  56,            0.023121,            0.017759,            0.005881,             0.80163,             0.74986,             0.81118,             0.59226,            0.026227,            0.017028,            0.017121,            0.009734,            0.009734,            0.009734
