               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03135,            0.023167,            0.033699,             0.29852,             0.58308,             0.42565,             0.28666,            0.032211,            0.019664,            0.042472,           0.0098916,           0.0098916,           0.0098916
                  37,            0.031145,             0.02402,            0.033737,             0.31823,             0.65333,             0.45098,             0.30821,            0.030755,            0.018228,             0.03868,           0.0098854,           0.0098854,           0.0098854
                  38,            0.029139,            0.022993,            0.031368,             0.33292,             0.67437,             0.48222,             0.32545,            0.030265,            0.018241,            0.037045,           0.0098789,           0.0098789,           0.0098789
                  39,               0.031,            0.023637,            0.030561,              0.3504,             0.67436,             0.48725,             0.32434,            0.032581,            0.018501,            0.037139,           0.0098723,           0.0098723,           0.0098723
                  40,            0.032378,            0.024323,            0.030648,             0.36246,              0.6586,             0.47634,              0.3163,            0.031601,            0.018126,            0.038696,           0.0098656,           0.0098656,           0.0098656
                  41,            0.028997,            0.021867,            0.030342,              0.3754,             0.65046,             0.46888,              0.3195,            0.031279,            0.018792,            0.037993,           0.0098586,           0.0098586,           0.0098586
                  42,            0.031254,             0.02327,            0.030587,              0.3451,             0.68525,               0.499,             0.33474,            0.031512,            0.018817,            0.037442,           0.0098515,           0.0098515,           0.0098515
                  43,             0.02928,            0.023211,             0.02845,              0.4002,              0.5789,             0.48872,             0.32971,            0.031634,            0.018552,            0.036482,           0.0098442,           0.0098442,           0.0098442
                  44,            0.028298,            0.022509,            0.029621,             0.35187,             0.64866,             0.48173,             0.32499,            0.030619,            0.019149,            0.037855,           0.0098368,           0.0098368,           0.0098368
                  45,            0.029628,            0.023287,            0.029267,             0.35566,             0.68029,             0.49543,             0.33682,            0.031239,            0.018998,            0.038404,           0.0098291,           0.0098291,           0.0098291
                  46,            0.029558,            0.022241,            0.028168,             0.38087,             0.68389,             0.50551,             0.33673,            0.031449,             0.01839,            0.034456,           0.0098213,           0.0098213,           0.0098213
                  47,            0.031264,            0.022017,            0.027725,             0.38718,             0.72819,             0.51532,             0.35421,            0.030951,            0.018516,            0.035517,           0.0098133,           0.0098133,           0.0098133
                  48,            0.027157,            0.020952,            0.027177,               0.358,             0.64909,             0.50526,             0.33806,            0.032198,            0.018854,            0.036867,           0.0098052,           0.0098052,           0.0098052
                  49,            0.029994,            0.023206,            0.027715,             0.38694,             0.69779,              0.4956,             0.33941,            0.031168,            0.018657,            0.034902,           0.0097969,           0.0097969,           0.0097969
