               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028417,            0.020121,            0.013014,             0.64526,             0.72133,             0.71468,             0.48561,            0.031985,            0.018974,            0.025784,           0.0098916,           0.0098916,           0.0098916
                  37,            0.028318,            0.019466,            0.012348,             0.66816,             0.72385,             0.73894,             0.53131,            0.028861,            0.019221,            0.025923,           0.0098854,           0.0098854,           0.0098854
                  38,            0.029192,            0.019169,            0.010872,             0.76406,             0.73212,             0.78164,             0.56197,            0.029285,            0.017785,            0.020858,           0.0098789,           0.0098789,           0.0098789
                  39,             0.02625,            0.019062,             0.01023,             0.73596,             0.68907,              0.7732,             0.54689,            0.028897,            0.018028,            0.024114,           0.0098723,           0.0098723,           0.0098723
                  40,              0.0277,            0.021299,            0.011741,             0.74041,               0.637,              0.7041,             0.48752,            0.031275,             0.01953,            0.025167,           0.0098656,           0.0098656,           0.0098656
                  41,            0.026859,            0.019876,            0.010089,             0.71302,              0.7091,             0.75864,             0.54906,            0.028086,            0.017902,            0.025483,           0.0098586,           0.0098586,           0.0098586
                  42,            0.027113,            0.020059,           0.0094315,             0.79992,              0.6825,             0.77508,             0.52116,            0.029437,            0.018398,            0.019966,           0.0098515,           0.0098515,           0.0098515
                  43,            0.026428,            0.019562,           0.0091825,             0.73122,             0.67025,             0.74372,             0.53672,            0.028823,            0.018412,            0.024128,           0.0098442,           0.0098442,           0.0098442
                  44,            0.026874,            0.019624,           0.0091974,             0.70063,             0.69923,             0.76578,             0.55205,            0.028342,             0.01833,            0.024706,           0.0098368,           0.0098368,           0.0098368
                  45,            0.027018,            0.017437,            0.011183,             0.73518,             0.69912,             0.74874,             0.53486,            0.028617,            0.017196,            0.023439,           0.0098291,           0.0098291,           0.0098291
                  46,            0.027148,            0.020024,           0.0095295,             0.80731,              0.6754,             0.78535,              0.5547,            0.030051,            0.017902,            0.019405,           0.0098213,           0.0098213,           0.0098213
